essay_id,session_uuid,model,error_count,messages,score_1,score_2,autoscore,rubric_max_score,rubric1_1,rubric1_2,rubric1_3,rubric1_4,rubric1_5,rubric1_6,rubric1_7,rubric1_8,rubric1_9,rubric2_1,rubric2_2,rubric2_3,rubric2_4,rubric2_5,rubric2_6,rubric2_7,rubric2_8,rubric2_9,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_trait6,autoscore_trait7,autoscore_trait8,autoscore_trait9,,,,,
17834,9450d193-ffdf-47ce-8e82-6a7a5d5c312a,c3h-002,0,,8,7,8,12,1,2,2,3,,,,,,1,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17836,ac278b6f-ab73-4377-812d-7962101879da,c3h-002,0,,6,7,8,12,1,1,2,2,,,,,,2,2,2,1,,,,,,2,2,2,2,,,,,,,,,,
17837,f3b02fd0-460c-45f9-aa53-29a68be5a3c7,c3h-002,0,,7,8,7,12,1,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17838,93fdf9d3-2a2e-4130-8a95-5323ed087321,c3h-002,0,,8,9,10,12,2,2,2,2,,,,,,2,2,2,3,,,,,,3,3,2,2,,,,,,,,,,
17839,e5928a85-860d-4012-aba6-9afad6a2cb8e,c3h-002,0,,7,6,9,12,1,2,2,2,,,,,,1,2,1,2,,,,,,2,2,2,3,,,,,,,,,,
17840,4266bb86-29e5-430d-86bd-4557f74aad8f,c3h-002,0,,11,12,10,12,2,3,3,3,,,,,,3,3,3,3,,,,,,3,3,2,2,,,,,,,,,,
17841,fede375a-7207-4a3e-97ef-da3622c20677,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,1,2,2,3,,,,,,,,,,
17842,c631e476-6f0d-4fc7-8afd-a1d9c182ca02,c3h-002,0,,9,9,8,12,2,2,2,3,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17843,427913e0-b950-4434-adfa-caacb2bfd76d,c3h-002,0,,8,4,8,12,2,2,2,2,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17844,622739eb-aac5-4229-9ab3-0a86645c25ab,c3h-002,0,,4,6,7,12,0,1,1,2,,,,,,1,1,2,2,,,,,,2,1,2,2,,,,,,,,,,
17845,80d7517d-5ee7-4093-94fa-13aee6b4ec51,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
